Record Length,Analog:100000
Sample Interval,5.000000E-05
Vertical Units,V,
Vertical Scale,+1.000000E-02
Vertical Offset,-1.000000E-03
Horizontal Units,s
Horizontal Scale,+5.000000E-01
Model,SDS814X HD
Serial Number,SDS08A0Q808383
Software Version,3.8.12.1.1.3.8
Source,CH1
Second,Value
-2.4753000000E+00,+1.562500E-03
-2.4752500000E+00,-1.645833E-03
-2.4752000000E+00,+1.375000E-03
-2.4751500000E+00,-2.208333E-03
-2.4751000000E+00,+1.645833E-03
-2.4750500000E+00,+1.291667E-03
-2.4750000000E+00,-1.770833E-03
-2.4749500000E+00,-1.812500E-03
-2.4749000000E+00,+1.395833E-03
-2.4748500000E+00,+1.354167E-03
-2.4748000000E+00,-2.437500E-03
-2.4747500000E+00,-1.729167E-03
-2.4747000000E+00,+1.729167E-03
-2.4746500000E+00,+1.708333E-03
-2.4746000000E+00,-1.875000E-03
-2.4745500000E+00,-1.687500E-03
-2.4745000000E+00,+1.520833E-03
-2.4744500000E+00,+1.354167E-03
-2.4744000000E+00,-2.083333E-03
-2.4743500000E+00,+1.625000E-03
-2.4743000000E+00,-1.708333E-03
-2.4742500000E+00,-1.770833E-03
-2.4742000000E+00,+1.395833E-03
-2.4741500000E+00,-1.583333E-03
-2.4741000000E+00,+1.354167E-03
-2.4740500000E+00,-1.729167E-03
-2.4740000000E+00,+1.583333E-03
-2.4739500000E+00,+2.020833E-03
-2.4739000000E+00,-1.645833E-03
-2.4738500000E+00,+1.625000E-03
-2.4738000000E+00,-2.020833E-03
-2.4737500000E+00,+1.666667E-03
-2.4737000000E+00,-1.687500E-03
-2.4736500000E+00,+1.458333E-03
-2.4736000000E+00,-1.770833E-03
-2.4735500000E+00,-1.979167E-03
-2.4735000000E+00,+1.729167E-03
-2.4734500000E+00,-1.583333E-03
-2.4734000000E+00,+1.395833E-03
-2.4733500000E+00,-1.854167E-03
-2.4733000000E+00,+1.458333E-03
-2.4732500000E+00,-1.770833E-03
-2.4732000000E+00,+1.520833E-03
-2.4731500000E+00,+1.708333E-03
-2.4731000000E+00,-2.208333E-03
-2.4730500000E+00,+1.541667E-03
-2.4730000000E+00,-1.833333E-03
-2.4729500000E+00,+1.833333E-03
-2.4729000000E+00,-1.895833E-03
-2.4728500000E+00,+1.541667E-03
-2.4728000000E+00,-2.145833E-03
-2.4727500000E+00,+1.437500E-03
-2.4727000000E+00,-2.000000E-03
-2.4726500000E+00,-1.687500E-03
-2.4726000000E+00,+1.354167E-03
-2.4725500000E+00,+1.354167E-03
-2.4725000000E+00,-1.604167E-03
-2.4724500000E+00,+1.666667E-03
-2.4724000000E+00,-1.833333E-03
-2.4723500000E+00,-1.645833E-03
-2.4723000000E+00,+1.416667E-03
-2.4722500000E+00,+1.312500E-03
-2.4722000000E+00,-1.979167E-03
-2.4721500000E+00,+1.687500E-03
-2.4721000000E+00,-1.708333E-03
-2.4720500000E+00,+2.041667E-03
-2.4720000000E+00,-2.145833E-03
-2.4719500000E+00,+1.354167E-03
-2.4719000000E+00,-1.958333E-03
-2.4718500000E+00,-1.562500E-03
-2.4718000000E+00,+1.979167E-03
