FFT Length,65536
Record Length,32768
FFT Sample Rate,+5.000000E+06,
Delta Frequency,+7.629395E+01,
Start Frequency,+0.000000E+00,
Stop Frequency,+2.500000E+06,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0Q809397
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+9.078979E+03,-7.054902E-07,+8.874045E-07,-1.189103E+02,+2.242484E+00
+9.155273E+03,+6.567163E-07,+4.778707E-07,-1.218070E+02,+6.290540E-01
+9.231567E+03,-6.119562E-07,-7.455913E-07,-1.203133E+02,-2.258072E+00
+9.307861E+03,+1.477020E-06,+1.010186E-06,-1.149457E+02,+5.998629E-01
+9.384155E+03,-1.408809E-06,-1.127129E-06,-1.148743E+02,-2.466816E+00
+9.460449E+03,+7.097513E-07,+3.946722E-07,-1.218078E+02,+5.074923E-01
+9.536743E+03,-7.132329E-07,+7.081033E-07,-1.199563E+02,+2.359803E+00
+9.613037E+03,+7.995745E-07,-8.044743E-07,-1.189059E+02,-7.884527E-01
+9.689331E+03,-5.377097E-07,+6.123123E-07,-1.217779E+02,+2.291415E+00
+9.765625E+03,+4.897458E-07,-3.702944E-07,-1.242369E+02,-6.473906E-01
+9.841919E+03,-7.950466E-07,+5.237284E-07,-1.204268E+02,+2.559098E+00
+9.918213E+03,+1.649312E-07,-2.607437E-07,-1.302141E+02,-1.006792E+00
+9.994507E+03,+1.151110E-06,-7.687375E-07,-1.171760E+02,-5.888026E-01
+1.007080E+04,-1.149579E-06,+7.703707E-07,-1.171783E+02,+2.551194E+00
+1.014709E+04,+4.798380E-07,-5.946246E-07,-1.223372E+02,-8.918261E-01
+1.022339E+04,-7.139839E-07,+3.671770E-07,-1.219072E+02,+2.666598E+00
+1.029968E+04,+8.961196E-07,+6.549187E-07,-1.190941E+02,+6.311245E-01
+1.037598E+04,-4.019168E-09,-1.127247E-06,-1.189596E+02,-1.574362E+00
+1.045227E+04,-8.768750E-07,+1.363382E-07,-1.210375E+02,+2.987346E+00
+1.052856E+04,+6.610475E-07,+4.525128E-07,-1.219263E+02,+6.002740E-01
+1.060486E+04,-4.430062E-08,-1.150719E-07,-1.381804E+02,-1.938290E+00
+1.068115E+04,-4.996385E-07,-1.332160E-07,-1.257286E+02,-2.881029E+00
+1.075745E+04,+2.781818E-07,-5.151343E-07,-1.246503E+02,-1.075649E+00
+1.083374E+04,+8.477009E-07,+1.241785E-06,-1.164577E+02,+9.718117E-01
+1.091003E+04,-7.594103E-07,-3.086150E-07,-1.217266E+02,-2.755592E+00
+1.098633E+04,-5.705756E-07,-2.097404E-07,-1.243233E+02,-2.789330E+00
+1.106262E+04,+6.015279E-07,-5.951365E-07,-1.214507E+02,-7.800573E-01
+1.113892E+04,-1.054065E-07,+7.190896E-07,-1.227720E+02,+1.716343E+00
+1.121521E+04,+4.179808E-07,+6.108024E-07,-1.226139E+02,+9.706754E-01
+1.129150E+04,+3.102416E-07,-1.365996E-06,-1.170726E+02,-1.347467E+00
+1.136780E+04,-9.125228E-07,+7.115416E-07,-1.187322E+02,+2.479321E+00
+1.144409E+04,-1.737151E-07,-8.125296E-07,-1.216091E+02,-1.781421E+00
+1.152039E+04,+5.479303E-07,+1.283890E-06,-1.171028E+02,+1.167425E+00
+1.159668E+04,-4.744115E-07,-1.006337E-06,-1.190736E+02,-2.011323E+00
+1.167297E+04,+1.301864E-06,+4.028739E-07,-1.173115E+02,+3.001122E-01
+1.174927E+04,-1.479979E-06,+2.242755E-07,-1.164963E+02,+2.991197E+00
+1.182556E+04,+3.444027E-07,-5.503936E-07,-1.237515E+02,-1.011666E+00
+1.190186E+04,+3.712447E-07,+7.022609E-07,-1.219997E+02,+1.084498E+00
+1.197815E+04,-5.610722E-07,-1.114958E-06,-1.180745E+02,-2.037019E+00
+1.205444E+04,+1.362939E-06,+5.848905E-07,-1.165764E+02,+4.053714E-01
+1.213074E+04,-1.629524E-06,+1.152252E-06,-1.139979E+02,+2.526111E+00
+1.220703E+04,+3.385080E-07,-1.246576E-06,-1.177766E+02,-1.305640E+00
+1.228333E+04,+1.065779E-06,-5.209316E-08,-1.194363E+02,-4.883916E-02
+1.235962E+04,-5.696580E-07,-5.304196E-09,-1.248873E+02,-3.132282E+00
+1.243591E+04,-8.416326E-07,+1.557563E-07,-1.213513E+02,+2.958599E+00
+1.251221E+04,+9.073046E-07,+3.002933E-07,-1.203935E+02,+3.196248E-01
+1.258850E+04,-3.348555E-07,+7.164315E-10,-1.295028E+02,+3.139453E+00
+1.266479E+04,+3.211350E-07,+4.986077E-08,-1.297628E+02,+1.540343E-01
+1.274109E+04,-8.380574E-07,-3.471281E-07,-1.208469E+02,-2.748900E+00
+1.281738E+04,+1.196807E-06,-2.323435E-07,-1.182788E+02,-1.917509E-01
+1.289368E+04,-1.238959E-06,+7.996782E-07,-1.166264E+02,+2.568427E+00
+1.296997E+04,+9.326591E-07,-5.928646E-07,-1.191316E+02,-5.662363E-01
+1.304626E+04,-7.948790E-08,+3.531409E-07,-1.288264E+02,+1.792195E+00
+1.312256E+04,-3.709091E-07,-3.770073E-07,-1.255330E+02,-2.348041E+00
+1.319885E+04,-1.993778E-07,+1.610869E-07,-1.318243E+02,+2.462024E+00
+1.327515E+04,+1.246605E-06,+2.604852E-07,-1.178998E+02,+2.059918E-01
+1.335144E+04,-1.137978E-06,-6.874318E-07,-1.175263E+02,-2.598177E+00
+1.342773E+04,+5.545104E-07,+5.978841E-07,-1.217721E+02,+8.230183E-01
+1.350403E+04,-1.951697E-07,-3.911961E-08,-1.340207E+02,-2.943775E+00
+1.358032E+04,-4.732387E-07,-4.444005E-07,-1.237526E+02,-2.387611E+00
+1.365662E+04,+9.783888E-07,-6.930274E-08,-1.201680E+02,-7.071542E-02
+1.373291E+04,-1.440584E-06,+3.687235E-07,-1.165536E+02,+2.891018E+00
+1.380920E+04,+1.244274E-06,+5.299377E-07,-1.173777E+02,+4.026335E-01
+1.388550E+04,-7.367383E-08,-4.774455E-07,-1.263193E+02,-1.723897E+00
+1.396179E+04,-7.153998E-07,-1.316729E-07,-1.227643E+02,-2.959575E+00
+1.403809E+04,+1.296082E-07,+1.279048E-07,-1.347941E+02,+7.787837E-01
+1.411438E+04,+4.007451E-07,+3.250878E-07,-1.257466E+02,+6.815382E-01
